Site Name,State,Capacity,Type,Latitude,Longitude
Lahori,Madhya Pradesh,12,Wind,23.37,76.25
Sadla,Gujarat,18,Wind,22.7308,71.3685
MSEDCL,Gujarat,78,Wind,23.63123778,69.01812444
Kanasar,Rajasthan,20,Solar,27.482418,72.093802
Jhansi,Madhya Pradesh,50,Solar,25.36943,78.30572
Bitta,Gujarat,40,Solar,23.28,69.08
NJV_Delhi,Delhi,0,Solar,28.5335,77.1996
SECI-1,Gujarat,50.4,Wind,23.5099,69.1298
SITE1,TELANGANA,0,Solar,16.450472,77.866028
SITE2,TELANGANA,0,Solar,16.376111,74.773611
SITE3,GUJARAT,0,Solar,23.921321,71.186291
SITE4,GUJARAT,0,Solar,24.142247,71.280255
Muktainagar,MAHARASHTRA,50,Solar,21.034444,75.989167
parli,MAHARASHTRA,80,Solar,18.92680845,76.35167537
Mahoba,Uttar Pradesh,30,Solar,25.313108,79.410778
